Channel,Run
0,"	502"
1,"	504"
2,"	505"
3,"	505"
12,"	518"
13,"	518"
14,"	516"
15,"	515"
16,"	507"
17,"	507"
18,"	508"
19,"	508"
28,"	519"
29,"	521"
30,"	541"
31,"	540"
32,"	509"
33,"	510"
34,"	511"
44,"	533"
45,"	534"
46,"	535"
47,"	536"
48,"	512"
49,"	513"
50,"	514"
51,"	514"
60,"	526"
61,"	527"
62,"	531"
63,"	532"
5,"	632"
4,"	669"
6,"	634"
7,"	634"
21,"	636"
20,"	670"
22,"	638"
23,"	638"
37,"	640"
36,"	671"
38,"	642"
39,"	642"
53,"	652"
52,"	672"
54,"	654"
55,"	654"
8,"	657"
9,"	657"
10,"	658"
11,"	659"
26,"	660"
27,"	661"
24,"	662"
25,"	662"
42,"	663"
43,"	664"
40,"	665"
41,"	665"
58,"	666"
59,"	667"
56,"	668"
57,"	668"
